,corr,names,name,corrnames
20,"305,443,532,754,1669","Ready to Wear (Pret-A-Porter) (1994);;Endless Summer 2, The (1994);;Serial Mom (1994);;Gold Diggers: The Secret of Bear Mountain (1995);;Tango Lesson, The (1997)",Money Train (1995),"Ready to Wear (Pret-A-Porter) (1994);;Endless Summer 2, The (1994);;Serial Mom (1994);;Gold Diggers: The Secret of Bear Mountain (1995);;Tango Lesson, The (1997)"
21,"1711,1352,1683,1137,275","Midnight in the Garden of Good and Evil (1997);;Albino Alligator (1996);;Wings of the Dove, The (1997);;Hustler White (1996);;Mixed Nuts (1994)",Get Shorty (1995),"Midnight in the Garden of Good and Evil (1997);;Albino Alligator (1996);;Wings of the Dove, The (1997);;Hustler White (1996);;Mixed Nuts (1994)"
22,"1614,605,1470,219,1553","In & Out (1997);;One Fine Day (1996);;Rhyme & Reason (1997);;Cure, The (1995);;Late Bloomers (1996)",Copycat (1995),"In & Out (1997);;One Fine Day (1996);;Rhyme & Reason (1997);;Cure, The (1995);;Late Bloomers (1996)"
23,"731,2507,1380,305,743",Heaven's Prisoners (1996);;Breakfast of Champions (1999);;Grease (1978);;Ready to Wear (Pret-A-Porter) (1994);;Spy Hard (1996),Assassins (1995),Heaven's Prisoners (1996);;Breakfast of Champions (1999);;Grease (1978);;Ready to Wear (Pret-A-Porter) (1994);;Spy Hard (1996)
24,"1986,1634,2652,2537,2399","Halloween 5: The Revenge of Michael Myers (1989);;Curse of Frankenstein, The (1957);;Beyond the Poseidon Adventure (1979);;Santa Claus: The Movie (1985)",Powder (1995),"Halloween 5: The Revenge of Michael Myers (1989);;Curse of Frankenstein, The (1957);;Beyond the Poseidon Adventure (1979);;Santa Claus: The Movie (1985)"
25,"1483,727,210,1007,1131","Crash (1996);;War Stories (1995);;Wild Bill (1995);;Apple Dumpling Gang, The (1975);;Jean de Florette (1986)",Leaving Las Vegas (1995),"Crash (1996);;War Stories (1995);;Wild Bill (1995);;Apple Dumpling Gang, The (1975);;Jean de Florette (1986)"
26,"375,1961,2750,1966,2513",Safe Passage (1994);;Rain Man (1988);;Radio Days (1987);;Metropolitan (1990);;Pet Sematary (1989),Othello (1995),Safe Passage (1994);;Rain Man (1988);;Radio Days (1987);;Metropolitan (1990);;Pet Sematary (1989)
27,"475,370,1497,2639,110",In the Name of the Father (1993);;Naked Gun 33 1/3: The Final Insult (1994);;Double Team (1997);;Mommie Dearest (1981);;Braveheart (1995),Now and Then (1995),In the Name of the Father (1993);;Naked Gun 33 1/3: The Final Insult (1994);;Double Team (1997);;Mommie Dearest (1981);;Braveheart (1995)
28,"1188,17,818,1530,775","Strictly Ballroom (1992);;Sense and Sensibility (1995);;Very Brady Sequel, A (1996);;Spirits of the Dead (Tre Passi nel Delirio) (1968)",Persuasion (1995),"Strictly Ballroom (1992);;Sense and Sensibility (1995);;Very Brady Sequel, A (1996);;Spirits of the Dead (Tre Passi nel Delirio) (1968)"
29,"1071,1684,697,1166,2324",For the Moment (1994);;Mrs. Dalloway (1997);;Feeling Minnesota (1996);;Farmer & Chase (1995);;Life Is Beautiful (La Vita è bella) (1997),"City of Lost Children, The (1995)",For the Moment (1994);;Mrs. Dalloway (1997);;Feeling Minnesota (1996);;Farmer & Chase (1995);;Life Is Beautiful (La Vita è bella) (1997)
30,"1372,315,551,179,510","Star Trek VI: The Undiscovered Country (1991);;Specialist, The (1994);;Nightmare Before Christmas, The (1993);;Mad Love (1995);;Poetic Justice (1993)",Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),"Star Trek VI: The Undiscovered Country (1991);;Specialist, The (1994);;Nightmare Before Christmas, The (1993);;Mad Love (1995);;Poetic Justice (1993)"
31,"60,136,2216,447,731","Indian in the Cupboard, The (1995);;From the Journals of Jean Seberg (1995);;Skin Game, The (1931);;Favor, The (1994);;Heaven's Prisoners (1996)",Dangerous Minds (1995),"Indian in the Cupboard, The (1995);;From the Journals of Jean Seberg (1995);;Skin Game, The (1931);;Favor, The (1994);;Heaven's Prisoners (1996)"
32,"1093,1576,1281,1720,1268","Doors, The (1991);;Great Dictator, The (1940);;Time Tracers (1995);;Pump Up the Volume (1990)",Twelve Monkeys (1995),"Doors, The (1991);;Great Dictator, The (1940);;Time Tracers (1995);;Pump Up the Volume (1990)"
33,"2803,1370,653,1597,2903","Pelican Brief, The (1993);;Die Hard 2 (1990);;Dragonheart (1996);;Conspiracy Theory (1997);;Psycho III (1986)",Wings of Courage (1995),"Pelican Brief, The (1993);;Die Hard 2 (1990);;Dragonheart (1996);;Conspiracy Theory (1997);;Psycho III (1986)"
34,"2168,3119,123,256,781",Dance with Me (1998);;Bay of Blood (Reazione a catena) (1971);;Chungking Express (1994);;Junior (1994);;Stealing Beauty (1996),Babe (1995),Dance with Me (1998);;Bay of Blood (Reazione a catena) (1971);;Chungking Express (1994);;Junior (1994);;Stealing Beauty (1996)
35,"378,1660,1251,208,3095","Speechless (1994);;Eve's Bayou (1997);;8 1/2 (1963);;Waterworld (1995);;Grapes of Wrath, The (1940)",Carrington (1995),"Speechless (1994);;Eve's Bayou (1997);;8 1/2 (1963);;Waterworld (1995);;Grapes of Wrath, The (1940)"
36,"1243,492,326,2671,409",Rosencrantz and Guildenstern Are Dead (1990);;Manhattan Murder Mystery (1993);;To Live (Huozhe) (1994);;Notting Hill (1999);;Above the Rim (1994),Dead Man Walking (1995),Rosencrantz and Guildenstern Are Dead (1990);;Manhattan Murder Mystery (1993);;To Live (Huozhe) (1994);;Notting Hill (1999);;Above the Rim (1994)
37,"22,1205,1277,3021,1990","Copycat (1995);;Transformers: The Movie, The (1986);;Cyrano de Bergerac (1990);;Funhouse, The (1981);;Prom Night IV: Deliver Us From Evil (1992)",Across the Sea of Time (1995),"Copycat (1995);;Transformers: The Movie, The (1986);;Cyrano de Bergerac (1990);;Funhouse, The (1981);;Prom Night IV: Deliver Us From Evil (1992)"
38,"1346,470,942,1245,444",Cat People (1982);;House Party 3 (1994);;Laura (1944);;Miller's Crossing (1990);;Even Cowgirls Get the Blues (1993),It Takes Two (1995),Cat People (1982);;House Party 3 (1994);;Laura (1944);;Miller's Crossing (1990);;Even Cowgirls Get the Blues (1993)
39,"1083,3007,671,775,2350","Great Race, The (1965);;American Movie (1999);;Mystery Science Theater 3000: The Movie (1996);;Spirits of the Dead (Tre Passi nel Delirio) (1968);;Heart Condition (1990)",Clueless (1995),"Great Race, The (1965);;American Movie (1999);;Mystery Science Theater 3000: The Movie (1996);;Spirits of the Dead (Tre Passi nel Delirio) (1968);;Heart Condition (1990)"
40,"1644,2882,2656,2061,1489",I Know What You Did Last Summer (1997);;Jakob the Liar (1999);;Tarantula (1955);;Full Tilt Boogie (1997);;Cats Don't Dance (1997),"Cry, the Beloved Country (1995)",I Know What You Did Last Summer (1997);;Jakob the Liar (1999);;Tarantula (1955);;Full Tilt Boogie (1997);;Cats Don't Dance (1997)
41,"1118,1293,459,1539,266","Tashunga (1995);;Gandhi (1982);;Getaway, The (1994);;Twin Town (1997);;Legends of the Fall (1994)",Richard III (1995),"Tashunga (1995);;Gandhi (1982);;Getaway, The (1994);;Twin Town (1997);;Legends of the Fall (1994)"
42,"1339,1952,1467,4,731",Bram Stoker's Dracula (1992);;Midnight Cowboy (1969);;Salut cousin! (1996);;Waiting to Exhale (1995);;Heaven's Prisoners (1996),Dead Presidents (1995),Bram Stoker's Dracula (1992);;Midnight Cowboy (1969);;Salut cousin! (1996);;Waiting to Exhale (1995);;Heaven's Prisoners (1996)
43,"3247,521,236,77,2895",Sister Act (1992);;Romeo Is Bleeding (1993);;French Kiss (1995);;Nico Icon (1995);;Napoleon and Samantha (1972),Restoration (1995),Sister Act (1992);;Romeo Is Bleeding (1993);;French Kiss (1995);;Nico Icon (1995);;Napoleon and Samantha (1972)
44,"2574,1527,168,2106,1458","Out-of-Towners, The (1999);;Fifth Element, The (1997);;First Knight (1995);;Swing Kids (1993);;Touch (1997)",Mortal Kombat (1995),"Out-of-Towners, The (1999);;Fifth Element, The (1997);;First Knight (1995);;Swing Kids (1993);;Touch (1997)"
45,"241,1277,546,201,519",Fluke (1995);;Cyrano de Bergerac (1990);;Super Mario Bros. (1993);;Three Wishes (1995);;Robocop 3 (1993),To Die For (1995),Fluke (1995);;Cyrano de Bergerac (1990);;Super Mario Bros. (1993);;Three Wishes (1995);;Robocop 3 (1993)
46,"1688,2101,265,278,2639",Anastasia (1997);;Squanto: A Warrior's Tale (1994);;Like Water for Chocolate (Como agua para chocolate) (1992);;Miami Rhapsody (1995);;Mommie Dearest (1981),How to Make an American Quilt (1995),Anastasia (1997);;Squanto: A Warrior's Tale (1994);;Like Water for Chocolate (Como agua para chocolate) (1992);;Miami Rhapsody (1995);;Mommie Dearest (1981)
47,"1475,50,6,539,284","Kama Sutra: A Tale of Love (1996);;Usual Suspects, The (1995);;Heat (1995);;Sleepless in Seattle (1993);;New York Cop (1996)",Seven (Se7en) (1995),"Kama Sutra: A Tale of Love (1996);;Usual Suspects, The (1995);;Heat (1995);;Sleepless in Seattle (1993);;New York Cop (1996)"
48,"936,982,1857,559,644","Ninotchka (1939);;Picnic (1955);;Real Blonde, The (1997);;Paris, France (1993);;Happy Weekend (1996)",Pocahontas (1995),"Ninotchka (1939);;Picnic (1955);;Real Blonde, The (1997);;Paris, France (1993);;Happy Weekend (1996)"
49,"3026,904,1381,1337,551","Slaughterhouse (1987);;Rear Window (1954);;Grease 2 (1982);;Body Snatcher, The (1945);;Nightmare Before Christmas, The (1993)",When Night Is Falling (1995),"Slaughterhouse (1987);;Rear Window (1954);;Grease 2 (1982);;Body Snatcher, The (1945);;Nightmare Before Christmas, The (1993)"
50,"739,47,1002,1927,2093",Honigmond (1996);;Seven (Se7en) (1995);;Ed's Next Move (1996);;All Quiet on the Western Front (1930);;Return to Oz (1985),"Usual Suspects, The (1995)",Honigmond (1996);;Seven (Se7en) (1995);;Ed's Next Move (1996);;All Quiet on the Western Front (1930);;Return to Oz (1985)
52,"476,337,1543,2883,1326","Inkwell, The (1994);;What's Eating Gilbert Grape (1993);;Designated Mourner, The (1997);;Mumford (1999);;Amityville II: The Possession (1982)",Mighty Aphrodite (1995),"Inkwell, The (1994);;What's Eating Gilbert Grape (1993);;Designated Mourner, The (1997);;Mumford (1999);;Amityville II: The Possession (1982)"
53,"79,2752,1571,2337,2400","Juror, The (1996);;Outrageous Fortune (1987);;When the Cats Away (Chacun cherche son chat) (1996);;Velvet Goldmine (1998);;Prancer (1989)",Lamerica (1994),"Juror, The (1996);;Outrageous Fortune (1987);;When the Cats Away (Chacun cherche son chat) (1996);;Velvet Goldmine (1998);;Prancer (1989)"
54,"559,1834,1837,116,252","Paris, France (1993);;Spanish Prisoner, The (1997);;Odd Couple II, The (1998);;Anne Frank Remembered (1995);;I.Q. (1994)","Big Green, The (1995)","Paris, France (1993);;Spanish Prisoner, The (1997);;Odd Couple II, The (1998);;Anne Frank Remembered (1995);;I.Q. (1994)"
55,"652,1672,1393,3077,514","301, 302 (1995);;Rainmaker, The (1997);;Jerry Maguire (1996);;42 Up (1998);;Ref, The (1994)",Georgia (1995),"301, 302 (1995);;Rainmaker, The (1997);;Jerry Maguire (1996);;42 Up (1998);;Ref, The (1994)"
56,"1677,1837,116,1690,666","Critical Care (1997);;Odd Couple II, The (1998);;Anne Frank Remembered (1995);;Alien: Resurrection (1997);;All Things Fair (1996)",Kids of the Round Table (1995),"Critical Care (1997);;Odd Couple II, The (1998);;Anne Frank Remembered (1995);;Alien: Resurrection (1997);;All Things Fair (1996)"
57,"2504,1082,1828,2567,1163","200 Cigarettes (1999);;Candidate, The (1972);;EDtv (1999);;Mina Tannenbaum (1994)",Home for the Holidays (1995),"200 Cigarettes (1999);;Candidate, The (1972);;EDtv (1999);;Mina Tannenbaum (1994)"
58,"259,430,311,1068,1243",Kiss of Death (1995);;Calendar Girl (1993);;Relative Fear (1994);;Crossfire (1947);;Rosencrantz and Guildenstern Are Dead (1990),"Postino, Il (The Postman) (1994)",Kiss of Death (1995);;Calendar Girl (1993);;Relative Fear (1994);;Crossfire (1947);;Rosencrantz and Guildenstern Are Dead (1990)
59,"3611,1678,1201,1060,3150","Saludos Amigos (1943);;Joy Luck Club, The (1993);;Good, The Bad and The Ugly, The (1966);;Swingers (1996);;War Zone, The (1999)","Confessional, The (Le Confessionnal) (1995)","Saludos Amigos (1943);;Joy Luck Club, The (1993);;Good, The Bad and The Ugly, The (1966);;Swingers (1996);;War Zone, The (1999)"
60,"439,1648,560,926,367","Dangerous Game (1993);;House of Yes, The (1997);;Beans of Egypt, Maine, The (1994);;All About Eve (1950);;Mask, The (1994)","Indian in the Cupboard, The (1995)","Dangerous Game (1993);;House of Yes, The (1997);;Beans of Egypt, Maine, The (1994);;All About Eve (1950);;Mask, The (1994)"
61,"31,447,731,1450,78","Dangerous Minds (1995);;Favor, The (1994);;Heaven's Prisoners (1996);;Prisoner of the Mountains (Kavkazsky Plennik) (1996);;Crossing Guard, The (1995)",Eye for an Eye (1996),"Dangerous Minds (1995);;Favor, The (1994);;Heaven's Prisoners (1996);;Prisoner of the Mountains (Kavkazsky Plennik) (1996);;Crossing Guard, The (1995)"
62,"3005,2998,2023,2909,2284","Bone Collector, The (1999);;Dreaming of Joseph Lees (1998);;Godfather: Part III, The (1990);;Five Wives, Three Secretaries and Me (1998);;Bandit Queen (1994)",Mr. Holland's Opus (1995),"Bone Collector, The (1999);;Dreaming of Joseph Lees (1998);;Godfather: Part III, The (1990);;Five Wives, Three Secretaries and Me (1998);;Bandit Queen (1994)"
63,"3507,1580,393,2036,2538","Odd Couple, The (1968);;Men in Black (1997);;Street Fighter (1994);;Blank Check (1994);;Dancemaker (1998)",Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),"Odd Couple, The (1968);;Men in Black (1997);;Street Fighter (1994);;Blank Check (1994);;Dancemaker (1998)"
64,"2338,473,190,766,1688",I Still Know What You Did Last Summer (1998);;In the Army Now (1994);;Safe (1995);;I Shot Andy Warhol (1996);;Anastasia (1997),Two if by Sea (1996),I Still Know What You Did Last Summer (1998);;In the Army Now (1994);;Safe (1995);;I Shot Andy Warhol (1996);;Anastasia (1997)
65,"1389,403,1346,719,526","Jaws 3-D (1983);;Two Crimes (1995);;Cat People (1982);;Multiplicity (1996);;Savage Nights (Nuits fauves, Les) (1992)",Bio-Dome (1996),"Jaws 3-D (1983);;Two Crimes (1995);;Cat People (1982);;Multiplicity (1996);;Savage Nights (Nuits fauves, Les) (1992)"
66,"176,3386,3303,3387,3388",Living in Oblivion (1995);;JFK (1991);;Black Tar Heroin: The Dark End of the Street (1999);;Who's Harry Crumb? (1989);;Harry and the Hendersons (1987),Lawnmower Man 2: Beyond Cyberspace (1996),Living in Oblivion (1995);;JFK (1991);;Black Tar Heroin: The Dark End of the Street (1999);;Who's Harry Crumb? (1989);;Harry and the Hendersons (1987)
67,"1250,1703,679,724,1571","Bridge on the River Kwai, The (1957);;For Richer or Poorer (1997);;Run of the Country, The (1995);;Craft, The (1996);;When the Cats Away (Chacun cherche son chat) (1996)",Two Bits (1995),"Bridge on the River Kwai, The (1957);;For Richer or Poorer (1997);;Run of the Country, The (1995);;Craft, The (1996);;When the Cats Away (Chacun cherche son chat) (1996)"
68,"1337,2409,1403,3184,2540","Body Snatcher, The (1945);;Rocky II (1979);;Montana (1998);;Corruptor, The (1999)",French Twist (Gazon maudit) (1995),"Body Snatcher, The (1945);;Rocky II (1979);;Montana (1998);;Corruptor, The (1999)"
69,"102,322,175,211,734","Mr. Wrong (1996);;Swimming with Sharks (1995);;Kids (1995);;Browning Version, The (1994);;Getting Away With Murder (1996)",Friday (1995),"Mr. Wrong (1996);;Swimming with Sharks (1995);;Kids (1995);;Browning Version, The (1994);;Getting Away With Murder (1996)"
70,"158,744,294,1109,317","Casper (1995);;Brothers in Trouble (1995);;Perez Family, The (1995);;Charm's Incidents (1996);;Santa Clause, The (1994)",From Dusk Till Dawn (1996),"Casper (1995);;Brothers in Trouble (1995);;Perez Family, The (1995);;Charm's Incidents (1996);;Santa Clause, The (1994)"
71,"199,305,20,773,443","Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964);;Ready to Wear (Pret-A-Porter) (1994);;Money Train (1995);;Touki Bouki (Journey of the Hyena) (1973);;Endless Summer 2, The (1994)",Fair Game (1995),"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964);;Ready to Wear (Pret-A-Porter) (1994);;Money Train (1995);;Touki Bouki (Journey of the Hyena) (1973);;Endless Summer 2, The (1994)"
72,"1765,1354,144,748,324","Letter From Death Row, A (1998);;Breaking the Waves (1996);;Brothers McMullen, The (1995);;Arrival, The (1996);;Sum of Us, The (1994)",Kicking and Screaming (1995),"Letter From Death Row, A (1998);;Breaking the Waves (1996);;Brothers McMullen, The (1995);;Arrival, The (1996);;Sum of Us, The (1994)"
73,"1673,40,2023,2909,3559","Boogie Nights (1997);;Cry, the Beloved Country (1995);;Godfather: Part III, The (1990);;Five Wives, Three Secretaries and Me (1998);;Limelight (1952)","Misérables, Les (1995)","Boogie Nights (1997);;Cry, the Beloved Country (1995);;Godfather: Part III, The (1990);;Five Wives, Three Secretaries and Me (1998);;Limelight (1952)"
74,"136,749,3617,2101,1688","From the Journals of Jean Seberg (1995);;Man from Down Under, The (1943);;Road Trip (2000);;Squanto: A Warrior's Tale (1994);;Anastasia (1997)",Bed of Roses (1996),"From the Journals of Jean Seberg (1995);;Man from Down Under, The (1943);;Road Trip (2000);;Squanto: A Warrior's Tale (1994);;Anastasia (1997)"
75,"1201,3611,2920,1678,58","Good, The Bad and The Ugly, The (1966);;Saludos Amigos (1943);;Children of Paradise (Les enfants du paradis) (1945);;Joy Luck Club, The (1993);;Postino, Il (The Postman) (1994)",Big Bully (1996),"Good, The Bad and The Ugly, The (1966);;Saludos Amigos (1943);;Children of Paradise (Les enfants du paradis) (1945);;Joy Luck Club, The (1993);;Postino, Il (The Postman) (1994)"
76,"1783,410,2642,1911,3432",Palmetto (1998);;Addams Family Values (1993);;Superman III (1983);;Doctor Dolittle (1998);;Death Wish 3 (1985),Screamers (1995),Palmetto (1998);;Addams Family Values (1993);;Superman III (1983);;Doctor Dolittle (1998);;Death Wish 3 (1985)
77,"720,379,201,564,600",Wallace & Gromit: The Best of Aardman Animation (1996);;Timecop (1994);;Three Wishes (1995);;Chasers (1994);;Love and a .45 (1994),Nico Icon (1995),Wallace & Gromit: The Best of Aardman Animation (1996);;Timecop (1994);;Three Wishes (1995);;Chasers (1994);;Love and a .45 (1994)
78,"3452,2327,54,3247,110","Romeo Must Die (2000);;Tales from the Darkside: The Movie (1990);;Big Green, The (1995);;Sister Act (1992);;Braveheart (1995)","Crossing Guard, The (1995)","Romeo Must Die (2000);;Tales from the Darkside: The Movie (1990);;Big Green, The (1995);;Sister Act (1992);;Braveheart (1995)"
79,"731,524,188,60,2984","Heaven's Prisoners (1996);;Rudy (1993);;Prophecy, The (1995);;Indian in the Cupboard, The (1995);;On Any Sunday (1971)","Juror, The (1996)","Heaven's Prisoners (1996);;Rudy (1993);;Prophecy, The (1995);;Indian in the Cupboard, The (1995);;On Any Sunday (1971)"
80,"2465,2443,1700,2362,623","Deadly Friend (1986);;Playing by Heart (1998);;Glen or Glenda (1953);;Modern Affair, A (1995)","White Balloon, The (Badkonake Sefid ) (1995)","Deadly Friend (1986);;Playing by Heart (1998);;Glen or Glenda (1953);;Modern Affair, A (1995)"
81,"1286,979,451,491,92","Somewhere in Time (1980);;Nothing Personal (1995);;Flesh and Bone (1993);;Man Without a Face, The (1993);;Mary Reilly (1996)",Things to Do in Denver when You're Dead (1995),"Somewhere in Time (1980);;Nothing Personal (1995);;Flesh and Bone (1993);;Man Without a Face, The (1993);;Mary Reilly (1996)"
82,"1324,3095,1072,636,1660","Amityville: Dollhouse (1996);;Grapes of Wrath, The (1940);;Frisk (1995);;Eve's Bayou (1997)",Antonia's Line (Antonia) (1995),"Amityville: Dollhouse (1996);;Grapes of Wrath, The (1940);;Frisk (1995);;Eve's Bayou (1997)"
83,"2078,1902,2509,1250,1703","Jungle Book, The (1967);;Dream for an Insomniac (1996);;Eight Days a Week (1997);;Bridge on the River Kwai, The (1957);;For Richer or Poorer (1997)",Once Upon a Time... When We Were Colored (1995),"Jungle Book, The (1967);;Dream for an Insomniac (1996);;Eight Days a Week (1997);;Bridge on the River Kwai, The (1957);;For Richer or Poorer (1997)"
84,"2870,239,650,713,689","Barefoot in the Park (1967);;Goofy Movie, A (1995);;Moll Flanders (1996);;Of Love and Shadows (1994)",Last Summer in the Hamptons (1995),"Barefoot in the Park (1967);;Goofy Movie, A (1995);;Moll Flanders (1996);;Of Love and Shadows (1994)"
85,"293,45,3512,1277,3473","Professional, The (a.k.a. Leon: The Professional) (1994);;To Die For (1995);;Return to Me (2000);;Cyrano de Bergerac (1990);;Jonah Who Will Be 25 in the Year 2000 (1976)",Angels and Insects (1995),"Professional, The (a.k.a. Leon: The Professional) (1994);;To Die For (1995);;Return to Me (2000);;Cyrano de Bergerac (1990);;Jonah Who Will Be 25 in the Year 2000 (1976)"
