UserID,pref
64,"1109,107,2652,1849,2558,3342,1200,2496,1121,3551,2506,1935,1126,3511,1107,738,2401,1575,1184,1454,3322,1170,848,2519,2866,1131,1821,1306,1124,1537"
65,"347,1450,467,2375,1107,1575,2558,2899,972,1109,2932,1849,444,1479,703,700,1121,738,1619,254,145,368,628,1477,1030,1200,1446,1821,2079"
66,"2652,1849,107,347,3342,1168,467,3511,2587,1107,254,1019,3322,1159,2512,1450,1782,1119,1121,1133,1151,1179,1026,3551,528,1307,3278,3385,1108,848"
67,"310,1156,1118,1013,1773,1124,848,863,108,1766,1564,1775,3236,893,1033,1159,3135,145,3187,842,1114,1139,860,1130,2880,3131,3272,1774,3190"
68,"1060,2204,2652,2132,2786,1108,1009,1067,3509,709,1140,2558,1216,3430,1004,217,3166,2456,2702,2587,1187,1145,1194,3652,2163,2401,2109,1134,3342"
69,"2652,288,580,1564,1537,1023,347,2144,1546,2795,1295,2684,736,1501,977,1261,2132,259,145,2749,1124,755,502,3037,1024,292,2702"
70,"2652,2558,2786,3342,2776,2512,2749,217,2496,2163,2502,1051,2481,2899,3551,2204,2144,2401,2309,2384,2203,853,3509,2866,2557,848,2958,743,3178"
71,"467,2587,1109,1200,2502,2481,1450,254,2776,2512,3190,3278,3623,1168,3322,1289,3511,1421,2741,1026,2100,2491,1008,628,2214,217,3178,3249,1399,1935"
72,"1849,2786,347,1121,2132,580,2204,1213,1564,2427,3652,1619,1107,2932,584,577,3187,2702,107,2167,1105,574,526,3511,348,3178,254,1295,1307,2933"
73,"107,1108,1849,2496,1174,2512,1126,2652,1276,3342,1259,217,2709,2587,1278,1619,1821,2489,576,347,1407,1107,1179,1274,1170,1109,1111,1131"
74,"1486,580,594,288,1161,853,803,347,1193,1176,3204,1018,1092,528,3511,862,3108,1157,47,1124,3442,882,2006,1123,1132,1144,755,2776,159"
75,"1450,2427,2163,2959,2375,1399,2481,1067,3509,1121,1026,1004,1744,309,573,2746,2502,1981,1873,628,652,2239,1421"
76,"310,2204,2558,594,2652,288,2749,580,1486,2375,1564,3342,2489,1067,285,2945,2932,709,1018,1124,1143,1261,3178,1295,2144,1134,2899"
77,"2652,2786,2401,2203,3342,2558,2496,2945,217,3509,3249,1744,709,1067,2512,1537,2132,2309,2144,1051,1399,108,3652,1343,2141,3310,444,2766,288"
78,"2652,2204,859,839,2401,971,1768,347,964,1174,2899,1505,1282,1100,575,1343,2959,582,854,2098,2163,538,2839,2129,3312,355,217"
79,"1486,2960,1818,3342,3551,3652,1167,3509,3665,2959,2776,3178,2795,2506,3267,1289,2199,1121,2204,1595,2558,2866,1261,3249,1657,1130,3706,50,3511,755"
80,"2558,514,107,594,1575,577,467,1849,2932,347,580,860,1174,1105,145,3187,2100,1307,2132,1261,260,1095,2933,36,3178,1023,310,3511,738,574"
81,"1105,1161,254,844,852,1486,1849,853,108,1124,714,288,848,843,803,1109,1130,1140,1144,1132,528,1176,1156,1203,1296,1118,1119,1123,3204"
82,"310,444,580,107,347,2558,576,2375,1564,1479,145,1575,577,2932,288,1454,467,3342,2709,3511,1619,2079,1179,594,514,1295,1493,738,1261,1168"
83,"254,2204,2558,2512,1026,2427,1179,1107,3342,3178,2749,2144,1004,2776,1994,2593,853,2758,1981,1826,1960,2489,1121,1925,1051,1788,1789,1780"
84,"254,1107,107,1109,1108,2375,1121,3342,1125,1111,1149,514,1849,2652,1133,576,3511,1151,1289,972,1479,467,3295,1126,1117,2709,1026,2309,1019"
85,"2652,3178,2959,1818,3511,3342,3278,2559,3384,1125,1289,860,2502,1803,1136,2481,908,1167,1980,2558,2794,3385,3322,3670,2933,1619,2404,2401,1008,3652"
86,"2558,2427,2204,1450,254,1575,467,2932,1121,844,1107,843,848,2959,738,860,1421,3384,628,859,3178,2375,355,2481,2497,1108,1295,574,703,1130"
87,"2375,576,107,254,3342,1109,467,1479,1107,444,1289,1121,3511,1849,1149,2709,1200,1775,3551,1125,700,972,1821,3322,2427,1111,1,1564,2308,738"
88,"803,1849,514,852,1136,1105,1132,594,2132,863,1168,1118,1564,310,1202,108,1619,848,1782,1140,1156,107,1538,1085,893,1109,1216,1026,1783,1155"
89,"514,1105,1849,1213,860,1564,310,3178,1575,444,2502,2932,32,1124,700,1110,1821,2795,579,2132,107,1782,714,2593,1117,2375,2203,2014,2675,1486"
90,"1486,1450,2587,1060,594,1849,3342,803,310,2558,2652,347,1018,2749,1009,848,1399,1407,1124,1175,1132,2786,3385,3430,853,514"
91,"107,1174,2204,1108,852,1187,1296,2587,3190,1008,3430,860,1203,1216,2711,1144,909,3133,850,1185,1213,3135,838,1994,2401,3310,2109"
92,"1179,1108,1060,2375,3342,2899,1901,575,355,310,1216,582,2600,971,2512,2163,2481,854,2593,1446,1832,2749,3030,1399,2558,2820"
93,"2375,1108,1149,1849,1111,576,3551,1121,1840,2013,1842,1109,1143,1051,1184,1925,254,1125,1788,596,3295,1960,1151,909,1126,3461,1112,3509"
94,"2512,1170,2263,848,1126,1803,2097,538,1250,1225,1824,2100,1450,2806,1818,1253,1938,217,467,1248,69,2267,1782,310,1168,1980,1167,2262,1815"
95,"580,107,594,1105,347,1174,310,576,444,1619,1849,1450,1479,2204,1261,1107,2132,514,1505,1143,2375,1744,2709,2932,1564,700,254,145,2161"
96,"514,310,1108,1849,254,444,107,594,580,288,1121,2558,2204,1179,1136,1168,1107,1479,576,3511,859,1486,2932,1564,347,145,1124,2132,3178,972"
97,"852,853,2652,859,838,850,580,803,863,845,862,2006,891,839,870,1193,909,844,895,1132,1178,848,1123,1163,310,254,1486,866"
98,"514,1849,3342,310,2587,288,1159,1124,860,3511,1105,1143,1564,1168,3322,580,848,839,2427,852,714,1181,1175,3509,1174,1008,2977,34,1109,355"
99,"3342,1789,288,107,1168,254,1124,2652,514,3190,2711,859,1144,1004,3135,3511,3652,1109,1018,575,3551,39,355,2502,1744,1155,2079"
100,"514,1109,254,1107,1849,859,310,580,1108,1121,803,1124,1132,50,1136,909,1149,577,1935,860,1004,852,864,1118,2214,1143,839,1575"
101,"2427,1107,1259,254,2375,467,1450,1121,1109,576,738,320,1274,1278,1276,1149,628,1421,1540,972,2201,703,2741,700,1272,10,1277,1775"
102,"2204,1105,863,853,3204,862,852,1149,1733,32,1130,3178,866,1176,576,838,1123,1157,3133,891,108,2129,850,870,1013,1185,3551"
103,"467,107,738,1450,1849,576,2375,2709,3342,444,1407,628,700,3511,2456,2587,371,1540,1272,2161,1738,1477,308,340,3033,1259,1421,1429"
104,"2652,2749,803,2786,1132,2163,2502,2481,2899,2776,2960,2309,2491,217,1407,2559,2297,743,2384,2622,32,2794,34,2144,2503,1399,2635,2566,2485"
105,"803,2375,1108,1849,254,1132,1213,1107,1125,1121,1289,3342,1111,2740,1149,1112,576,1133,1109,2335,2737,2742,2741,1151,3295,2014,2744,1276"
106,"2204,1849,1216,860,1121,17,854,839,909,1768,1174,1538,856,1156,852,1107,484,842,2059,1205,348,1023,868,855,873,39,259,787,1100"
107,"852,580,1109,859,1105,254,714,1159,853,863,860,909,848,310,864,1115,1161,803,2558,1130,1156,528,844,1107,1118,1143,839,1171,1119,893"
108,"2652,580,3342,2496,2587,467,1159,3249,848,3509,1479,3322,3511,444,2203,1399,1115,3551,1343,1197,1008,2741,3385,1158,3702,1537,714,993,3623,1196"
109,"1109,2587,1450,1200,1121,1187,2959,1026,254,3430,1935,1107,864,1179,2214,971,848,859,1168,467,1276,738,1144,1140,964,2899,1203,3623"
110,"288,594,1486,2652,1018,1124,3342,3652,2489,285,6,3249,2348,2945,347,3509,542,3551,1537,1733,2079,217,1585,1582,811,579,3665,2384"
111,"347,1849,1486,310,1619,1174,2558,577,580,1454,2786,1505,1744,1067,348,1564,288,709,145,2129,2167,3032,2111,427,2932,1295,1134"
112,"1486,853,1161,528,3204,2776,1193,2163,1157,862,1176,575,581,2006,355,1191,2496,3108,1839,882,2557,958,1092,583,1898,582,1900,965"
113,"3342,514,2652,2375,1849,3511,3551,467,3384,738,3249,3322,3278,628,1517,3670,3702,1446,3509,3652,3178,308,1407,1421,1168,2945,1454,1540"
114,"859,581,1191,1900,958,1839,1004,1026,2786,964,1907,965,2652,1898,1916,583,848,968,1957,1905,582,971,1768,254,854,839,1901,1197,2821"
115,"2652,1849,3342,467,2587,3551,3509,3249,3511,3652,2427,69,738,3322,1421,2959,3702,1306,3430,2899,3385,1168,576,2456,1179,3278,2132,2496,3623,2512"
116,"254,1004,864,1026,2502,1981,1994,1133,1826,1849,2481,2758,1788,803,1167,1107,1960,2512,217,2776,1842,1119,3239,2709,1151,1117,2666,1925"
117,"1111,1109,1125,528,254,107,1184,1051,1126,1842,1108,1276,1149,2512,1925,1107,3551,579,2666,2013,1110,1183,2375,972,3342,2758"
118,"1109,2204,1107,2375,1121,254,3342,1849,1108,1174,467,576,1575,107,972,738,1276,2427,368,1821,1216,2214,1149,1450,3551,2959,2600,371"
119,"2899,2558,2163,3551,575,582,3509,355,2481,2959,1728,2557,2932,2502,1901,2866,2484,2519,964,2491,1440,1399,3178,2497,3385,2132,1905,1261"
120,"803,310,254,514,1105,288,1132,1107,1124,2652,2132,580,714,1060,2600,1109,1296,1119,3342,108,594,1185,1118,1121,863,2587,1018,1564"
121,"1107,864,254,1121,1276,2375,1278,1259,1450,1174,528,2959,1026,347,1111,3239,2335,1125,1274,1454,1277,320,738,1149,2709,3462,2456,3461,2899"
122,"1121,2652,1107,1849,1109,444,803,972,1159,1131,1479,254,843,2014,579,107,2375,310,1935,864,1151,217,3295,1111,1619,3033,1132,2786,461"
123,"1849,594,1105,514,580,1486,803,1132,577,1026,1782,1149,1151,576,1111,2014,1019,347,972,107,1121,1018,2079,1133,852,1125,859"
124,"514,1261,3187,1023,594,2932,1124,577,36,310,1143,2100,1092,2192,1100,1156,1537,977,2960,1505,328,368,654,240,17,2702,444,2959,259"
125,"2375,1479,1289,467,444,1213,972,1149,2740,1775,2652,1121,1821,3342,1112,2014,1200,2737,1111,1151,2587,1133,2742,576,1125,3295,1196,3461,1774"
126,"1121,254,1107,803,1140,3187,2100,3342,1023,909,842,1132,3551,1156,2375,17,496,1100,34,2489,259,1213,39,2960,2740,895,838,2742,1136,856"
127,"580,107,467,1486,1849,1109,254,2558,594,1107,2652,3342,1121,1289,576,1179,514,2932,444,347,1026,2375,1450,1276,738,577,803,1259,3652,1261"
128,"2652,467,2587,2456,1191,1159,1121,3509,848,1158,3249,1450,1980,2506,1115,1479,2741,2100,3623,2899,2427,1486,2944,1537,2542,1067,971,3652,3190,1130"
129,"1486,594,803,1849,2652,1018,1132,1149,972,1125,254,528,1107,1289,1124,1111,1821,1109,2375,1108,1446,1174,1161,1133,1121,2014"
130,"2740,1849,107,3342,972,1149,1109,1479,576,2375,1121,3295,2741,1821,254,1107,2742,3461,1111,2709,1450,2737,1112,803,1133,444,579,1276,3462"
131,"1105,1486,2203,1067,1111,864,1109,1174,2375,576,2512,709,580,863,2098,2401,2132,594,1149,217,1125,844,1657,1107,2776,690,310,1115"
132,"2600,1108,1060,2204,1174,1744,1008,1296,1399,2711,2587,1789,1009,2959,217,1168,2203,2401,3249,3030,1187,1004,993,3319,2481,2496,3166"
133,"1575,2558,580,2652,514,347,310,1026,1849,2079,3178,1744,584,1030,1155,1789,1564,2401,2502,574,441,3187,2932,2786,1782,1307,495,1261"
134,"2652,3342,1849,347,254,3249,2959,3509,2587,2786,1479,3652,1450,3511,1276,467,1454,3322,2899,1259,3278,738,1619,2839,3665,310,3385,2932"
135,"2558,2204,2512,2899,2652,2163,2776,2749,217,1108,2496,2481,2945,1121,2203,2489,2401,2144,1051,2309,2587,2384,3509,2786,2702,3551,2958,1179,2960"
136,"864,1167,2587,1105,1004,229,844,1140,2506,843,1981,3369,2203,1130,2542,1125,538,1818,2786,3267,1980,34,328,853"
137,"514,1849,2786,577,2512,1259,467,107,1174,347,444,3187,2709,2652,310,594,2144,2375,1124,576,2558,145,2776,1575,1450,320"
138,"1486,803,580,2652,288,310,1132,1124,1018,1107,1121,1067,3342,594,285,3249,3509,709,2489,3652,6,2348,1733,254,1144,1158,1134,690"
139,"254,1060,2600,580,1109,1004,2652,1289,1107,528,2456,1125,1849,1121,2506,1167,1479,1187,1117,1486,1960,2013,310,1407,1168"
140,"803,852,254,1132,1109,1107,863,853,3249,909,838,860,3652,3204,3551,893,1193,870,868,844,1140,891,895,3509,862,848,3665,845,1200,1178"
141,"467,2587,3342,1159,853,1105,1575,1193,1161,2512,1479,1115,3204,1168,2427,1181,1450,1008,1176,3322,1157,2006,2558,1766,1765,862,3236,1171,3511,3623"
142,"2786,310,288,1109,217,254,1026,1107,1124,355,1018,3342,582,2163,1200,2899,3249,575,1503,2959,1744,714,972,2945,3509,2401,2502,2839"
143,"2204,2375,2652,1849,107,2132,3342,1399,2558,2481,1619,1174,628,1479,1095,1564,2749,993,2899,2559,1,1575,2309,2945,2684,700,1450,1576,3033,340"
144,"514,3342,2375,864,3178,3511,3384,50,528,3278,1619,1026,1493,628,1782,2204,1155,3670,3239,1125,3322,2079,2932,1213,714,1780,2709,145,3551,1117"
145,"2786,2749,2489,2652,2401,2203,3342,2496,217,2945,2512,2384,2141,2960,2144,2309,2958,2776,2127,2375,3249,1105,34,2766,2839,853,1782,736,2795"
146,"859,853,2587,1216,2456,1768,964,2375,839,1109,1060,2652,528,1140,1144,1161,852,854,310,2776,1105,582,803,909,2512,1575"
147,"1849,2375,2652,1108,2558,1179,107,3342,310,347,2749,1174,1107,254,444,700,514,1109,2204,2132,1564,576,2711,1121,1216,2600"
148,"467,1179,444,310,1109,576,2214,347,145,1051,3511,972,371,526,2959,574,3342,1121,1849,2899,1108,700,514,2375"
149,"1125,1119,594,1107,1143,803,1124,514,1019,2489,310,2786,1149,972,3249,254,1884,1174,1108,3342,240,1216,2709,1111,2098"
150,"1026,1105,2652,580,310,288,864,3239,2204,577,1136,3342,2786,594,1849,1119,1117,2749,514,1782,1744,3187,1289,1537,254,1505,1261"
151,"1849,2204,217,2786,1149,3342,107,288,3249,1108,254,1117,1744,2711,1486,1505,594,576,3652,2489,2652,2600,1008,1110,1018,1179,528"
152,"1108,1168,1060,2600,2204,1789,217,2899,2711,1185,1009,1213,2163,2587,1187,1296,2512,2839,1385,1118,1216,2776,3032,1008,50,2059,3166,1004,2309"
153,"2558,594,2749,2496,2652,2502,2481,2491,2309,217,743,2376,2794,2503,1744,288,2839,2347,2776,2384,1564,3378,102,3187,848,47,1619,2512,1540,1399"
154,"2652,2749,2786,3342,2587,2401,2512,2203,2144,1157,2489,107,2711,1179,2945,3178,850,862,2141,50,1095,3204,2309,1161,895,2098,2006,1295,891,1744"
155,"1105,2132,864,1849,803,580,1619,1564,1174,1132,1136,3239,2204,1119,1117,714,526,1450,1107,2375,1156,1773,594,348,2232,1026,579,528,863,2508"
156,"2204,2652,514,526,1174,1216,2899,2786,347,348,860,2470,584,2232,852,1744,330,1575,1442,427,787,2163,1108,574,1619,1095"
157,"1849,714,852,2652,803,1143,864,310,528,1108,107,1132,1115,2749,1140,2899,1159,1107,2204,853,1067,1125,1110,2786,1168,2587,254"
158,"803,1132,1161,852,108,1115,853,3204,1176,863,528,1140,1840,1774,1193,1486,1157,1171,862,1143,844,1130,3134,714,1109,1153,843,1123,3108,1119"
159,"2558,3342,2512,1849,2204,3178,2502,3511,1109,2899,2163,2776,2144,3278,2481,3551,2559,1051,2401,3322,2503,2675,2959,2404,2376,2309,2794,853,3509,3190"
160,"2652,254,467,3178,1107,3511,1191,3652,3249,3278,50,3322,1109,1115,2512,1026,2132,576,3670,577,1454,1298,2758,2959,1289,582,288,584,3509,1900"
161,"852,240,1144,254,844,1156,2652,1849,514,1130,864,1564,1023,1296,594,3190,528,714,1884,2702,1187,755,3430,259,1168"
162,"107,3342,2899,2558,1849,467,3511,347,444,972,2163,575,355,582,576,3551,1450,1272,1174,1821,628,2749,700,368,371,1822,738,1446,1108"
163,"576,2375,2652,1575,1124,2749,3342,107,1306,1095,1149,3511,2795,1841,1446,310,908,860,2231,2960,3551,3702,2506,1140,1493"
164,"347,1026,803,1159,860,839,909,3178,1132,1887,1768,2587,2593,1115,1171,854,852,714,2375,3342,3509,1156,3511,1920,1196,3413,2977,3239,514,3384"
165,"2652,1060,254,2587,1121,594,1125,1107,864,1111,1018,2786,1149,1126,1117,288,1170,2335,514,3462,3461,1133,1009,1818,1124,908,3249,217,1197"
166,"254,594,514,1125,864,347,580,2489,1105,1167,859,1117,1018,1130,1107,1121,1004,2749,1174,1168,2711,1789,844,2587,467"
167,"3342,3249,3652,310,1564,1849,3551,3665,3511,3092,1276,3178,3304,3322,1503,254,2137,3385,3278,2489,3670,2786,1537,1197,1486,3369,1168,2308,2932"
168,"594,254,1026,2512,1296,1107,803,1121,2203,1109,1132,2711,1008,1994,2899,1789,1197,714,2401,2786,1131,1289,2163,1782,1174,1479,3178,3239,2600,1527"
169,"1107,1109,576,859,2786,2375,1105,1179,310,347,1289,972,467,1775,444,2132,1121,2427,2600,254,1575,1108,1540"
170,"254,1107,803,514,852,107,1026,1125,580,1109,714,1149,3342,576,1132,528,1111,2786,1849,1121,2375,863,2652,1179,848,1159,1117,1289,1115,2132"
171,"514,1486,803,3342,2587,1004,1140,240,1132,1161,859,50,157,1884,1124,1095,3511,1153,1176,1168,3178,1981,1187,3249,34,1092,2960,3322,1788,1446"
172,"853,1161,1193,3204,1176,2006,862,1486,3108,1157,870,528,882,1092,3442,1123,2022,843,844,852,1169,1247,1886,1163,2776,159,1884,1174,1015,157"
173,"863,1840,848,1176,1123,1168,1157,3204,1018,1115,1766,803,514,862,254,1161,2006,844,1159,1140,288,1107,853,1124,714,1849,310,1156,580"
